Sl No,Organisation Name ,InstituteName,InstituteAddress,InstituteCode/A ffiliation No,School Type,PhoneNumber,
1,515 army base wkshop high school,515 army base wkshop high school,"515 army base wkshop high school, cambridge road cross, halasuru
,560008",880016,,Secondary School,8025307559
2,A M C SCHOOL,A M C SCHOOL,"18TH KM NATIONAL PARK ROAD BANGALORE KARNATAKA ,560083",830145,,Secondary School,080 27828657
3,ACHIEVERS ACADEMY,ACHIEVERS ACADEMY,"NO:49,SRIRAMPURA VILLAGE,BOMMASANDRA- JIGANI LINK ROAD,ANEKAL TALUK,BANGALORE 562105.
,562105",830619,,Secondary School,8027839266
4,AECS MAGNOLIA MAARUTI PUBLIC SCHOOL,AECS MAGNOLIA MAARUTI PUBLIC SCHOOL,"909/36, AREKERE, BANNERGHATTA ROAD,
,560076",830230,,Senior Secondary,080 26485622
5,Agragami Vidya Kendra,Agragami Vidya Kendra,"C/A site No.15/1A A sector 13th Main Road, 80 Feet road, Yelahanka New Town, Distt Bangalore, Karnataka ,560064",830199,,Secondary School,080 41686714
6,AIR FORCE SCHOOL,AIR FORCE SCHOOL(A.F.S YELAHANKA ),"A.F.S YELAHANKA BANGALORE KARNATAKA
,560063",880010,,Secondary School,080 28478067
7,AIR FORCE SCHOOL,AIR FORCE SCHOOL(J C NAGAR HEBBAL),"POST J C NAGAR HEBBAL BANGALORE KARNATAKA
,560006",880005,,Secondary School,"080 23411061
extb 7955 7631
7633"
8,AIR FORCE SCHOOL,AIR FORCE SCHOOL(JALAHALLI EAST),"JALAHALLI EAST BANGALORE KARNATAKA ,560014",880006,,Secondary School,080 8397641
9,AIR FORCE SCHOOL,AIR FORCE SCHOOL(MURUGESHPALAYAM ),"MURUGESHPALAYAM CAMP VIMANPURA POST BANGALORE KARNATAKA
,560017",880009,,Secondary School,080 5272332
10,akash international residential public school,akash international residential public school,"baichapura devanahalli town prasannahalli road, bangale rural- 562110, prasannahalli road, bangale rural district. ,562110",830419,,Senior Secondary,91 9480355444
11,ALPINE PUBLIC SCHOOL,ALPINE PUBLIC SCHOOL,"OFF KANAKPURA ROAD, BEHIND METRO. OPP OF DELHI PUBLIC SCHOOL, BANGALORE
,560062",830299,,Senior Secondary,91 7815010800
12,AMARA JYOTHI PUBLIC SCHOOL,AMARA JYOTHI PUBLIC SCHOOL,"BASAVANAPURA MAIN ROAD DEVA SANDRA K R PURAM BANGALORE KARNATAKA
,560036",830149,,Secondary School,080 64501555
13,AMRITA VIDYALAYAM(JNANABHARATH I II STAGE),AMRITA VIDYALAYAM(JNANABHARATH I II STAGE),"#136, MATA AMRITANANDAMAYI ROAD, JNANABHARATHI II STAGE,(BEHIND BANGALORE UNIVERSITY) ULLALA UPANAGARA POST ,560056",830260,,Secondary School,080 64558737
14,,ANAND SHIKSHA KENDRA,"KAIKONDANAHALLI BELANDUR GATE CARMELRAM POST SARJAPUR ROAD BANGALORE KARNATAKA ,560035",830105,,Senior Secondary,080 41688547
15,,ARMY PUBLIC SCHOOL(A.S.C CENTRE SOUTH AGARAM POST),"A.S.C CENTRE SOUTH AGARAM POST BANGALORE KARNATAKA ,560007",880017,,Secondary School,080 5550677
16,,ARMY PUBLIC SCHOOL(K KAMARAJ ROAD),"ABDUL HAMID BARRACKS K KAMARAJ ROAD BANGALORE KARNATAKA ,560042",880004,,Secondary School,080 5591999
17,,ARMY PUBLIC SCHOOL(MEKHRI CIRCLE),"NEAR MEKHRI CIRCLE J C NAGAR P.O. BANGALORE KARNATAKA ,560006",880012,,Senior Secondary,080 23433341
18,,ASHOK INTERNATIONAL PUBLIC SCHOOL,"Vasanthappa Main Road, Kammagondahalli, Bangalore - 560 015. ,560015",830291,,Secondary School,0 23450848
